data_ora,latitudine,longitudine,mag_x,mag_y,mag_z,nord,accel_x,accel_y,accel_z,accel_pitch,accel_roll,accel_yaw,gyro_x,gyro_y,gyro_z,gyro_pitch,gyro_roll,gyro_yaw,pitch,roll,yaw,temperatura,temperatura2,pressione,umidita
2019-04-05_16:50:22.715185,7:22:48.5,89:21:56.6,22.15757942199707,-20.15382957458496,26.400936126708984,42.40356631096127,-0.003208863316103816,0.025250427424907684,0.012915932573378086,3.644050209948019,62.323085610156845,42.684778859469034,0.27409541606903076,0.10261213779449463,-0.0005573797971010208,3.7336516196880085,62.61444098958208,42.76521799732427,3.7763462784161117,62.87369447990826,42.850858324232476,33.85044860839844,33.85044860839844,984.197509765625,33.529396057128906
2019-04-05_16:50:38.030248,6:34:16.8,89:57:04.0,22.645517349243164,-20.385698318481445,25.5943546295166,50.16785898205413,-0.002221520757302642,0.02476484328508377,0.012672236189246178,1.5535307955876314,92.38675746842576,50.15078692422368,0.27470630407333374,0.10077954083681107,0.0003589186817407608,1.546814265034276,92.01269532834084,50.240218006121246,1.5418229975765834,92.3245002941411,50.35231165568491,33.79352569580078,33.79352569580078,984.212158203125,33.08047866821289
2019-04-05_16:50:53.207381,5:48:44.4,90:29:52.7,22.599714279174805,-20.105112075805664,24.030012130737305,41.57758128934787,-0.002715192036703229,0.025736013427376747,0.01364702358841896,4.09779120245619,62.185730505947895,41.835919534325264,0.27501171827316284,0.10108497738838196,-0.0008628126233816147,4.0943726927765995,62.455338563055804,41.91504727585986,4.145016411038128,62.76856420820342,42.01689905676309,33.92633819580078,33.92633819580078,984.182373046875,34.119293212890625
2019-04-05_16:51:08.496410,5:03:09.7,91:02:35.4,22.434593200683594,-19.78373908996582,23.55550765991211,49.208022743276,-0.0034556991886347532,0.025978805497288704,0.011453751474618912,1.5626114253674577,90.8772036995829,49.1644256458038,0.27409541606903076,0.09986324608325958,0.0015806490555405617,1.6256768031300068,90.5366436373769,49.278161955862856,1.6234696915327407,90.79002316501686,49.3688497925677,33.73660659790039,33.73660659790039,984.21630859375,34.783390045166016
2019-04-05_16:51:23.745896,4:17:33.1,91:35:12.9,22.18381690979004,-20.208568572998047,21.858774185180664,40.10794656110915,-0.002715192036703229,0.026464389637112617,0.011941145174205303,4.053765510613581,62.30639262782534,40.37477814631946,0.27379000186920166,0.09986324608325958,0.0003589186817407608,4.126623992263753,62.58546049693372,40.46809219076017,4.167873639095576,62.830124703192745,40.54893430977644,33.86941909790039,33.86941909790039,984.18310546875,33.047088623046875
2019-04-05_16:51:38.945447,3:31:54.8,92:07:46.0,22.718791961669922,-19.789560317993164,21.20339012145996,46.04761566713564,-0.0037025348283350468,0.02622159756720066,0.011453751474618912,1.630671699125696,90.36165419084118,45.99737621069561,0.27501171827316284,0.10291756689548492,0.0015806490555405617,1.6728092705496203,90.02942012923342,46.1001022558126,1.6722215541158818,90.28316165689938,46.19434862107502,33.96428680419922,33.96428680419922,984.203125,32.49800109863281
2019-04-05_16:51:54.184541,2:43:12.5,92:42:25.3,22.66040802001953,-19.786970138549805,19.654836654663086,39.53610946341734,-0.002715192036703229,0.025978805497288704,0.011210055090487003,3.780643321177696,62.031805362812484,39.753859309251936,0.2713465392589569,0.10291756689548492,0.0015806490555405617,3.8921435980572157,62.290095796465685,39.85919790172645,3.9333262236578075,62.54692456963651,39.9425740209248,33.73660659790039,33.73660659790039,984.203857421875,33.72231674194336
2019-04-05_16:52:09.381137,1:57:31.8,93:14:51.8,22.214914321899414,-19.8311710357666,18.95322608947754,43.249177881154694,-0.0009873425588011742,0.025978805497288704,0.012915932573378086,1.6464677922418198,90.67490715674546,43.20926225564514,0.27409541606903076,0.10291756689548492,0.0003589186817407608,1.6791691371622541,90.45677140522277,43.30765454573376,1.6754981239267839,90.76679369164965,43.42235391246578,33.83147430419922,33.83147430419922,984.2158203125,33.36244201660156
2019-04-05_16:52:24.688616,1:11:50.5,93:47:16.1,22.27805519104004,-19.93914222717285,18.224668502807617,42.935091632171655,-0.0009873425588011742,0.02622159756720066,0.013159629888832569,3.6677821291060515,62.06454245950435,43.07158954763978,0.276844322681427,0.10139040648937225,5.348585546016693e-05,3.722185012732026,62.47447675311018,43.17112247931979,3.7653876667796493,62.732814998087576,43.252931070103614,33.8125,33.8125,984.197265625,33.32905197143555
2019-04-05_16:52:39.999714,0:26:08.7,94:19:39.2,22.37567138671875,-19.879310607910156,17.219587326049805,41.58002649707073,-0.0024683563970029354,0.02622159756720066,0.012915932573378086,1.569917379901844,90.86313350989268,41.49588198159076,0.27443727850914,0.10310772806406021,0.0004401532933115959,1.642369678739812,90.56295352605979,41.6053835743644,1.6401370606548642,90.80481052456994,41.69328810898247,33.75558090209961,33.75558090209961,984.2177734375,33.815067291259766
2019-04-05_16:52:55.228479,-0:22:35.9,94:54:11.3,23.06360626220703,-19.98877716064453,16.298505783081055,37.737806032317614,-0.002221520757302642,0.026707183569669724,0.012915932573378086,3.945571899065994,62.055444647529896,37.91485819598268,0.2735210061073303,0.10432945191860199,0.0016618836671113968,4.017562519804751,62.48046682901228,38.014350146527676,4.061158763503297,62.738620658882084,38.099567001707335,33.85044860839844,33.85044860839844,984.224365234375,33.42180252075195
2019-04-05_16:53:10.475538,-1:08:17.6,95:26:34.2,22.780704498291016,-19.868806838989258,16.04755401611328,38.393654456800576,-0.0037025348283350468,0.026464389637112617,0.01364702358841896,1.9572331819060549,90.33212045287004,38.35297385010398,0.2735748291015625,0.10110019147396088,0.00012218952178955078,1.997314439502982,90.02376473260064,38.45269119689158,1.9966992955908578,90.27194648628222,38.54197542972199,33.90736389160156,33.90736389160156,984.204345703125,32.53510284423828
2019-04-05_16:53:25.756518,-1:53:58.6,95:58:58.1,22.406545639038086,-19.565040588378906,14.34313678741455,37.21798765534462,-0.0017278495943173766,0.026464389637112617,0.013159629888832569,4.058452301044679,61.409076525614914,37.40046640430526,0.27204763889312744,0.10232192277908325,0.00042762234807014465,4.090901676017763,61.79890274230422,37.50092482661781,4.12956524247509,62.04743283563347,37.57783275667216,33.73660659790039,33.73660659790039,984.186767578125,33.72231674194336
